"""",FK1-03008,FK1-03008 | truza bordada ; talla-8 color: turqueza color: na,,"update sku set sku_readable = ""FK1-03008 | truza bordada ; talla-8 color: turqueza color: na"" where sku = ""FK1-03008"";"
"""",FK1-04008,FK1-04008 | truza bordada ; talla-10 color: turqueza color: na,,"update sku set sku_readable = ""FK1-04008 | truza bordada ; talla-10 color: turqueza color: na"" where sku = ""FK1-04008"";"
"""",FK1-05008,FK1-05008 | truza bordada ; talla-12 color: turqueza color: na,,"update sku set sku_readable = ""FK1-05008 | truza bordada ; talla-12 color: turqueza color: na"" where sku = ""FK1-05008"";"
"""",FK1-06008,FK1-06008 | truza bordada ; talla-14 color: turqueza color: na,,"update sku set sku_readable = ""FK1-06008 | truza bordada ; talla-14 color: turqueza color: na"" where sku = ""FK1-06008"";"
"""",FK1-07008,FK1-07008 | truza bordada ; talla-16 color: turqueza color: na,,"update sku set sku_readable = ""FK1-07008 | truza bordada ; talla-16 color: turqueza color: na"" where sku = ""FK1-07008"";"
"""",FK1-01009,FK1-01009 | truza bordada ; talla-4 color: verde limon color: na,,"update sku set sku_readable = ""FK1-01009 | truza bordada ; talla-4 color: verde limon color: na"" where sku = ""FK1-01009"";"
"""",FK1-02009,FK1-02009 | truza bordada ; talla-6 color: verde limon color: na,,"update sku set sku_readable = ""FK1-02009 | truza bordada ; talla-6 color: verde limon color: na"" where sku = ""FK1-02009"";"
"""",FK1-03009,FK1-03009 | truza bordada ; talla-8 color: verde limon color: na,,"update sku set sku_readable = ""FK1-03009 | truza bordada ; talla-8 color: verde limon color: na"" where sku = ""FK1-03009"";"
"""",FK1-04009,FK1-04009 | truza bordada ; talla-10 color: verde limon color: na,,"update sku set sku_readable = ""FK1-04009 | truza bordada ; talla-10 color: verde limon color: na"" where sku = ""FK1-04009"";"
"""",FK1-05009,FK1-05009 | truza bordada ; talla-12 color: verde limon color: na,,"update sku set sku_readable = ""FK1-05009 | truza bordada ; talla-12 color: verde limon color: na"" where sku = ""FK1-05009"";"
"""",FK1-06009,FK1-06009 | truza bordada ; talla-14 color: verde limon color: na,,"update sku set sku_readable = ""FK1-06009 | truza bordada ; talla-14 color: verde limon color: na"" where sku = ""FK1-06009"";"
"""",FK1-07009,FK1-07009 | truza bordada ; talla-16 color: verde limon color: na,,"update sku set sku_readable = ""FK1-07009 | truza bordada ; talla-16 color: verde limon color: na"" where sku = ""FK1-07009"";"
"""",FK1-01010,FK1-01010 | truza bordada ; talla-4 color: naranja color: na,,"update sku set sku_readable = ""FK1-01010 | truza bordada ; talla-4 color: naranja color: na"" where sku = ""FK1-01010"";"
"""",FK1-02010,FK1-02010 | truza bordada ; talla-6 color: naranja color: na,,"update sku set sku_readable = ""FK1-02010 | truza bordada ; talla-6 color: naranja color: na"" where sku = ""FK1-02010"";"
"""",FK1-03010,FK1-03010 | truza bordada ; talla-8 color: naranja color: na,,"update sku set sku_readable = ""FK1-03010 | truza bordada ; talla-8 color: naranja color: na"" where sku = ""FK1-03010"";"
"""",FK1-04010,FK1-04010 | truza bordada ; talla-10 color: naranja color: na,,"update sku set sku_readable = ""FK1-04010 | truza bordada ; talla-10 color: naranja color: na"" where sku = ""FK1-04010"";"
